

前台：

Http://localhost:8080/GongYi/bootstrap/zhuye.jsp

后台：

Http://localhost:8080/Houtai1/bootstrap/denglu.jsp


滑军卓 220303199203105716
郁杰乐 220382199009264954	范弘帅 220302198201203696
苏鸿铿 220302198207026758	时驹菘 22030319870427701X
危赣修 220382198206129474	柳奎汝 22030119821110381X
赵善稚 220303198607021899	翁子隐 220323198006085219
咎锐汉 22032219801113981X	项尉争 220322198405236030
袁朴埂 220382199101017913	姚漂徽 220303199308221756
奚菁雄 220381197601203071	钟钢明 220302197707205491
路映冉 220323198906127998	蔡进如 220382198211278415
毛栋昆 220302198604113214	何凌可 22030119870218487X
麻弄胤 411327198106212416   	皮具匡 341102198708022090
戚州龙 610113198003049772	杜满铿 371728197507085893
邱悠洋 511922198806141414	何豪谱 13022419800311225X
熊羿谆 230229199310054491	徐冬旭 450802198208212333
陶少善 230523198906127771	庞帅齐 140822198902169411
郝协湃 230709199201185750	凤召云 440823198303016795
穆尉争 230521198710037552	苏叔华 231222198807199057
江烽凌 152201199003204678	单梦茂 532324199204142195
任谱班 530302198312086851	莫树琪 32041219751206247X
傅勇旭 130532199007096454	戴进如 410803198210042715
褚骞振 441625198002046010	秦琪霏 532801197802283098
狄修纯 653123197608166398	鲍振登 410204199008094798






